UNIQUE_CARRIER_NAME,Date,Open,High,Low,Close,Adj Close,Volume
Southwest Airlines Co.,10/1/1998,8.72,9.69,6.81,9.39,8.19,67499325
Southwest Airlines Co.,11/1/1998,9.56,10.56,9.19,9.64,8.41,67219425
Southwest Airlines Co.,12/1/1998,9.36,10.42,9.03,10.08,8.79,55121850
Southwest Airlines Co.,1/1/1999,9.97,14.22,9.94,11.97,10.45,83969775
Southwest Airlines Co.,2/1/1999,11.97,14.00,11.58,13.39,11.68,57585600
Southwest Airlines Co.,3/1/1999,13.33,15.28,12.92,13.44,11.73,81589275
Southwest Airlines Co.,4/1/1999,13.64,15.72,13.36,14.47,12.63,76210875
Southwest Airlines Co.,5/1/1999,14.36,15.36,13.03,14.25,12.44,72853425
Southwest Airlines Co.,6/1/1999,14.28,14.92,13.56,13.83,12.07,47866725
Southwest Airlines Co.,7/1/1999,14.00,14.86,11.96,12.33,10.77,70576650
Southwest Airlines Co.,8/1/1999,12.63,12.88,10.58,11.13,9.71,76470750
Southwest Airlines Co.,9/1/1999,11.17,11.42,9.58,10.13,8.84,94720050
Southwest Airlines Co.,10/1/1999,10.13,12.54,10.00,11.21,9.79,66777600
Southwest Airlines Co.,11/1/1999,11.08,11.79,10.75,10.88,9.50,51064350
Southwest Airlines Co.,12/1/1999,10.88,11.46,10.21,10.75,9.39,64364100
Southwest Airlines Co.,1/1/2000,10.79,11.33,10.00,10.63,9.28,67578000
Southwest Airlines Co.,2/1/2000,10.58,12.29,10.08,12.29,10.74,83106300
Southwest Airlines Co.,3/1/2000,12.17,13.92,10.63,13.88,12.12,64569150
Southwest Airlines Co.,4/1/2000,13.75,14.96,12.67,14.46,12.63,54729600
Southwest Airlines Co.,5/1/2000,14.46,15.17,12.71,12.79,11.18,41172150
Southwest Airlines Co.,6/1/2000,12.79,14.13,12.38,12.63,11.04,37833150
Southwest Airlines Co.,7/1/2000,12.83,15.83,12.75,15.75,13.77,62228700
Southwest Airlines Co.,8/1/2000,15.63,16.67,14.75,15.09,13.19,50087400
Southwest Airlines Co.,9/1/2000,15.00,16.33,14.42,16.17,14.13,47660100
Southwest Airlines Co.,10/1/2000,16.17,19.21,15.75,19.00,16.61,59991300
Southwest Airlines Co.,11/1/2000,19.00,21.83,18.71,21.04,18.40,55213500
Southwest Airlines Co.,12/1/2000,20.88,23.33,19.23,22.35,19.54,65260650
Southwest Airlines Co.,1/1/2001,22.17,23.32,18.79,20.89,18.27,91721100
Southwest Airlines Co.,2/1/2001,21.40,21.63,18.50,18.60,16.27,50327950
Southwest Airlines Co.,3/1/2001,18.59,19.12,16.00,17.75,15.53,69165300
Southwest Airlines Co.,4/1/2001,18.00,19.61,17.10,18.21,15.93,45028000
Southwest Airlines Co.,5/1/2001,18.11,20.03,17.76,20.00,17.49,50248400
Southwest Airlines Co.,6/1/2001,19.52,19.53,16.55,18.49,16.17,57152300
Southwest Airlines Co.,7/1/2001,18.55,20.21,18.09,20.01,17.51,37858200
Southwest Airlines Co.,8/1/2001,19.90,20.23,17.52,17.89,15.65,32703700
Southwest Airlines Co.,9/1/2001,17.89,18.81,11.25,14.84,12.99,129815700
Southwest Airlines Co.,10/1/2001,14.90,16.60,14.52,15.90,13.91,79858300
Southwest Airlines Co.,11/1/2001,15.90,18.97,15.55,18.75,16.41,65628900
Southwest Airlines Co.,12/1/2001,18.70,20.00,18.19,18.48,16.17,46213500
Southwest Airlines Co.,1/1/2002,18.25,19.24,17.17,18.94,16.58,53487800
Southwest Airlines Co.,2/1/2002,18.60,22.00,18.27,21.11,18.48,55260300
Southwest Airlines Co.,3/1/2002,21.05,21.41,18.25,19.35,16.94,57652900
Southwest Airlines Co.,4/1/2002,18.85,19.35,17.82,18.21,15.94,55508600
Southwest Airlines Co.,5/1/2002,18.14,18.69,16.44,17.03,14.91,53102800
Southwest Airlines Co.,6/1/2002,17.10,17.48,14.85,16.16,14.15,55229800
Southwest Airlines Co.,7/1/2002,16.06,16.08,10.90,13.81,12.09,85961300
Southwest Airlines Co.,8/1/2002,13.63,15.30,11.11,14.21,12.45,87066200
Southwest Airlines Co.,9/1/2002,13.97,14.50,12.29,13.06,11.44,52986300
Southwest Airlines Co.,10/1/2002,13.09,15.85,11.23,14.60,12.79,71118400
Southwest Airlines Co.,11/1/2002,14.05,16.70,14.03,16.70,14.63,45378900
Southwest Airlines Co.,12/1/2002,16.50,16.63,13.63,13.90,12.18,45347400
Southwest Airlines Co.,1/1/2003,14.10,14.56,12.25,13.05,11.44,44635300
Southwest Airlines Co.,2/1/2003,13.05,13.20,11.72,12.07,10.58,39898100
Southwest Airlines Co.,3/1/2003,12.16,15.33,12.16,14.36,12.58,60262100
Southwest Airlines Co.,4/1/2003,14.37,16.11,14.09,15.96,13.99,47788300
Southwest Airlines Co.,5/1/2003,15.91,16.90,14.96,16.07,14.09,49200900
Southwest Airlines Co.,6/1/2003,16.20,17.70,16.01,17.20,15.08,54648500
Southwest Airlines Co.,7/1/2003,17.10,18.25,16.20,16.41,14.39,56945000
Southwest Airlines Co.,8/1/2003,16.30,17.50,15.86,17.09,14.99,43256100
Southwest Airlines Co.,9/1/2003,16.77,18.99,16.77,17.70,15.53,62776500
Southwest Airlines Co.,10/1/2003,17.70,19.69,17.65,19.40,17.02,59090300
Southwest Airlines Co.,11/1/2003,19.25,19.38,16.66,17.98,15.77,42935700
Southwest Airlines Co.,12/1/2003,18.12,18.57,15.30,16.14,14.16,77404700
Southwest Airlines Co.,1/1/2004,16.22,16.60,14.80,14.95,13.12,103678200
Southwest Airlines Co.,2/1/2004,14.95,15.04,13.81,13.81,12.12,70150400
Southwest Airlines Co.,3/1/2004,14.00,14.53,12.88,14.21,12.47,132823600
Southwest Airlines Co.,4/1/2004,14.25,15.30,14.15,14.28,12.54,80531500
Southwest Airlines Co.,5/1/2004,14.25,15.95,13.56,15.51,13.61,65944900
Southwest Airlines Co.,6/1/2004,15.40,17.06,15.00,16.77,14.72,70585200
Southwest Airlines Co.,7/1/2004,16.63,16.85,13.74,14.47,12.71,65616100
Southwest Airlines Co.,8/1/2004,14.26,15.46,13.18,14.82,13.01,70588600
Southwest Airlines Co.,9/1/2004,14.75,15.00,13.19,13.62,11.96,66866600
Southwest Airlines Co.,10/1/2004,13.62,15.82,13.45,15.77,13.85,74469400
Southwest Airlines Co.,11/1/2004,15.59,16.26,15.11,15.73,13.82,61608900
